timestamp,tower_id,users_connected,download_speed,upload_speed,latency,weather,congestion
01-01-2025 00:00,1,152,80.67158375,9.988304703,158.1412901,Clear,0
01-01-2025 01:00,1,171,19.81947943,3.846096996,174.5734677,Clear,0
01-01-2025 02:00,1,713,66.83440493,3.764167372,147.1797667,Snow,0
01-01-2025 03:00,1,435,22.27337188,9.986820983,67.80602616,Clear,0
01-01-2025 04:00,1,797,7.190930379,26.71395835,85.97358463,Clear,0
01-01-2025 05:00,1,749,39.80437511,23.34742923,159.1834327,Clear,0
01-01-2025 06:00,1,616,98.40693415,23.87138177,173.3886773,Clear,0
01-01-2025 07:00,1,890,11.17990133,47.49539133,193.4700863,Rain,1
01-01-2025 08:00,1,826,6.516793961,12.31379746,55.79483854,Clear,0
01-01-2025 09:00,1,477,52.04180646,2.685037535,182.7708764,Clear,0
01-01-2025 10:00,1,921,76.75933398,21.83263785,49.50891594,Clear,0
01-01-2025 11:00,1,526,97.11053964,38.98150834,188.5047989,Snow,0
01-01-2025 12:00,1,319,74.09083961,17.00049767,118.3843551,Clear,0
01-01-2025 13:00,1,751,35.90638142,20.04518719,61.55631604,Rain,0
01-01-2025 14:00,1,971,96.69925419,30.74467814,62.43984458,Clear,0
01-01-2025 15:00,1,862,12.08231115,49.35745989,156.7265062,Clear,1
01-01-2025 16:00,1,521,6.337583158,10.7432778,145.154971,Rain,0
01-01-2025 17:00,1,428,12.03424191,18.5648207,32.01512131,Snow,0
01-01-2025 18:00,1,889,47.69781404,5.675095708,80.45546792,Clear,0
01-01-2025 19:00,1,854,74.31258694,32.2403161,178.5704211,Clear,1
01-01-2025 20:00,1,662,97.31264906,42.59677739,147.128609,Clear,0
01-01-2025 21:00,1,447,51.91058165,26.61390864,91.23279349,Clear,0
01-01-2025 22:00,1,510,24.16332422,44.89241619,100.3203424,Clear,0
01-01-2025 23:00,1,949,91.21881502,13.21531923,87.97275538,Rain,0
02-01-2025 00:00,1,85,94.5710892,30.34440786,142.0091373,Snow,0
02-01-2025 01:00,1,731,81.77143606,32.03678407,175.5775121,Rain,0
02-01-2025 02:00,1,605,44.56844505,44.28073269,71.62555399,Clear,0
02-01-2025 03:00,1,522,35.21033012,6.392544302,53.30768088,Clear,0
02-01-2025 04:00,1,677,38.49404135,15.93428165,41.2846121,Clear,0
02-01-2025 05:00,1,367,26.10024199,6.873402999,74.14688257,Snow,0
02-01-2025 06:00,1,423,25.78260086,28.3469981,86.7288725,Clear,0
02-01-2025 07:00,1,491,96.43249302,13.3373325,104.4772161,Clear,0
02-01-2025 08:00,1,674,99.78534608,14.0722697,195.5568416,Clear,0
02-01-2025 09:00,1,904,31.4714141,45.50502841,55.51675923,Clear,0
02-01-2025 10:00,1,733,47.53940063,28.09176136,122.6123775,Clear,0
02-01-2025 11:00,1,233,27.57556668,36.68260108,79.87879522,Clear,0
02-01-2025 12:00,1,247,42.88832203,41.00516179,161.6855737,Clear,0
02-01-2025 13:00,1,236,22.71925849,2.997981936,122.2696592,Clear,0
02-01-2025 14:00,1,452,72.55920558,40.66555126,76.24653759,Clear,0
02-01-2025 15:00,1,538,70.63908512,19.95003197,187.9786979,Clear,0
02-01-2025 16:00,1,522,24.86180397,27.53095072,142.1990359,Clear,0
02-01-2025 17:00,1,193,82.63610902,28.20483977,110.6336099,Clear,0
02-01-2025 18:00,1,353,96.71483837,28.35637923,177.7009052,Clear,0
02-01-2025 19:00,1,282,38.17490959,36.57182826,180.4509494,Snow,0
02-01-2025 20:00,1,169,89.33815938,42.69549399,187.7706489,Rain,0
02-01-2025 21:00,1,153,62.61076067,1.450655529,29.27959314,Clear,0
